;Column Labels;;;;;;;;;;;;
Row Labels;A;B;C;D;E;F;G;H;I;J;K;L;Grand Total
202;0;0;0;1;0;2;0;1;0;0;0;0;4
203;0;0;0;1;0;0;0;0;1;0;0;0;2
204;0;0;0;0;0;0;0;0;0;0;0;0;0
205;0;0;0;0;0;0;0;0;0;0;0;0;0
206;0;0;0;0;0;0;0;0;0;0;0;0;0
207;0;0;0;2;0;1;1;0;0;0;0;0;4
208;0;0;0;0;0;0;0;0;0;0;0;0;0
209;0;0;0;0;0;0;0;0;0;0;0;0;0
210;0;2;0;0;0;3;1;0;0;0;0;0;6
211;0;0;0;3;0;3;0;1;0;0;0;0;7
212;0;0;0;5;0;0;5;0;0;0;0;0;10
213;0;0;0;0;0;0;0;0;0;0;0;0;0
214;0;0;0;0;0;0;0;0;0;0;0;0;0
215;0;0;0;2;0;0;0;1;2;0;0;0;5
216;0;0;0;0;0;0;0;0;0;0;0;0;0
217;0;0;0;0;0;0;0;0;0;0;0;0;0
218;0;0;0;1;0;0;0;0;1;0;0;0;2
219;0;0;0;0;0;0;0;0;0;0;0;0;0
220;0;0;0;0;0;0;0;0;0;0;0;0;0
221;0;0;2;2;0;5;0;11;4;0;0;0;24
222;0;0;0;0;0;0;0;0;0;0;0;0;0
223;0;0;0;3;0;0;3;0;0;0;0;0;6
224;0;0;0;3;0;0;0;0;3;0;0;0;6
225;0;0;0;2;0;0;0;0;2;0;0;0;4
226;0;0;0;0;0;0;0;0;0;0;0;0;0
227;0;0;0;1;2;1;0;3;0;0;0;0;7
228;0;0;0;0;0;0;0;2;0;0;3;0;5
229;0;0;0;2;0;0;0;0;2;0;0;0;4
230;0;0;1;2;0;2;0;1;1;0;0;0;7
231;0;0;0;0;0;0;0;0;0;0;0;0;0
232;0;0;0;2;0;1;0;0;1;0;0;0;4
233;1;0;0;2;0;2;0;1;0;0;0;0;6
234;0;0;0;0;0;0;0;0;0;0;0;0;0
235;0;0;1;0;0;2;0;1;0;0;0;0;4
236;7;5;1;8;0;7;0;2;0;0;0;2;32
237;0;0;0;0;0;0;0;0;0;0;0;0;0
238;0;0;0;1;0;1;0;2;1;0;1;0;6
239;0;0;0;0;0;0;0;0;0;0;0;0;0
240;0;0;0;1;0;0;0;0;1;0;0;0;2
241;0;0;0;0;0;0;0;0;0;0;0;0;0
242;0;0;0;1;0;0;0;2;1;0;2;0;6
243;0;0;0;6;0;2;0;4;6;0;0;0;18
244;0;0;0;2;0;0;0;0;2;0;0;0;4
245;0;0;0;1;0;0;0;0;1;0;0;0;2
246;0;0;0;0;0;0;0;0;0;0;0;0;0
247;0;0;0;0;0;0;0;0;0;0;0;0;0
248;1;0;0;1;0;2;0;0;0;0;0;0;4
249;0;0;0;1;0;1;0;0;0;0;0;0;2
250;0;0;0;0;0;0;0;0;0;0;0;0;0
251;0;0;0;0;0;0;0;0;0;0;0;0;0
252;1;0;0;2;0;1;0;0;2;0;0;0;6
253;0;0;0;0;0;0;0;0;0;0;0;0;0
254;0;0;0;0;0;0;0;0;0;0;0;0;0
255;0;0;0;5;0;1;1;0;3;0;0;0;10
256;0;0;0;1;0;0;0;0;1;0;0;0;2
257;0;0;0;0;0;0;0;0;0;0;0;0;0
258;0;0;0;1;0;0;0;0;1;0;0;0;2
259;0;0;0;0;0;0;0;0;0;0;0;0;0
260;0;1;0;0;0;1;1;0;0;0;0;0;3
261;0;0;0;1;0;0;0;0;1;0;0;0;2
262;0;0;0;0;0;0;0;0;0;0;0;0;0
263;0;0;0;2;0;1;0;0;1;0;0;0;4
264;0;0;0;1;0;0;0;0;1;0;0;0;2
265;0;0;0;0;0;0;0;0;0;0;0;0;0
266;0;0;0;2;0;0;1;0;1;0;0;0;4
267;0;0;0;0;0;0;0;0;0;0;0;0;0
268;0;0;0;4;0;2;1;1;2;0;0;0;10
269;0;0;0;0;0;0;0;0;0;0;0;0;0
270;0;0;0;4;0;0;0;0;4;0;0;0;8
271;0;0;0;0;0;0;0;0;0;0;0;0;0
272;0;0;0;0;0;1;1;0;0;0;0;0;2
273;0;0;0;0;0;0;0;0;0;0;0;0;0
274;0;0;0;0;0;1;0;1;0;0;0;0;2
275;0;0;0;0;0;0;0;0;0;0;0;0;0
276;0;0;0;1;0;3;0;3;0;0;0;0;7
277;1;0;0;3;0;3;0;2;2;0;0;0;11
278;0;0;0;0;0;0;0;0;0;0;0;0;0
279;0;0;0;1;0;0;0;0;1;0;0;0;2
280;0;0;0;0;0;0;0;0;0;0;0;0;0
281;0;0;0;0;0;0;0;0;0;0;0;0;0
282;0;0;0;2;0;1;0;1;1;0;0;0;5
283;0;0;0;1;0;1;0;0;0;0;0;0;2
284;0;0;0;0;0;0;0;0;0;0;0;0;0
285;0;0;0;0;0;0;0;0;0;0;0;0;0
286;0;0;0;2;0;1;0;0;1;0;0;0;4
287;0;1;0;0;0;1;0;1;0;0;0;1;4
288;0;0;0;1;0;0;0;0;1;0;0;0;2
289;0;0;0;0;0;0;0;0;0;0;0;0;0
290;0;0;0;2;0;0;0;0;2;0;0;0;4
291;0;0;0;0;0;0;0;0;0;0;0;0;0
292;0;0;0;2;0;1;0;0;1;0;0;0;4
293;0;0;0;1;0;0;0;1;1;0;1;0;4
294;0;0;0;3;0;1;1;0;1;0;0;0;6
295;0;0;0;0;0;0;0;0;0;0;0;0;0
296;1;0;0;1;0;2;0;1;1;0;0;0;6
297;0;0;0;1;0;0;0;2;1;0;2;0;6
298;0;0;0;0;0;0;0;0;0;0;0;0;0
299;0;0;0;0;0;0;0;0;0;0;0;0;0
300;0;0;0;0;0;0;0;0;0;0;0;0;0
301;0;0;0;1;0;1;0;0;0;0;0;0;2
302;0;0;0;0;0;0;0;0;0;0;0;0;0
303;1;0;0;1;0;2;0;1;0;0;0;0;5
304;0;0;0;0;0;0;0;0;0;0;0;0;0
305;0;0;0;0;0;0;0;0;0;0;2;0;2
306;0;0;0;1;0;0;0;0;1;0;0;0;2
307;0;0;0;0;0;0;0;0;0;0;0;0;0
308;0;0;0;0;0;0;0;0;0;0;0;0;0
309;1;0;0;0;0;2;0;1;0;0;0;0;4
310;1;0;0;0;0;1;0;0;0;0;0;0;2
311;0;0;0;0;0;0;0;0;0;0;0;0;0
312;0;0;0;0;0;0;0;0;0;0;0;0;0
313;0;0;0;0;0;0;0;1;0;0;1;0;2
314;0;0;0;0;0;0;0;0;0;0;0;0;0
315;1;2;0;3;0;4;0;1;3;0;0;0;14
316;0;0;0;0;0;0;0;0;0;0;0;0;0
317;1;0;0;2;0;1;0;1;0;0;0;0;5
318;0;0;0;0;0;0;0;0;0;0;0;0;0
319;0;0;0;2;0;0;1;0;1;0;0;0;4
320;1;1;0;0;0;2;0;0;0;0;0;0;4
321;0;0;0;1;0;2;0;1;0;0;0;0;4
322;0;0;0;1;0;0;0;0;1;0;0;0;2
323;0;0;0;0;0;0;0;0;0;0;0;0;0
324;0;0;0;0;0;0;0;0;0;0;0;0;0
325;2;0;0;1;0;3;0;1;0;0;0;0;7
326;0;0;0;2;0;1;1;0;0;0;0;0;4
327;0;0;0;1;0;0;0;0;1;0;0;0;2
328;0;0;0;0;0;0;0;0;0;0;0;0;0
329;0;0;0;0;1;2;0;1;0;0;0;0;4
330;0;0;0;2;0;1;0;0;1;0;0;0;4
331;0;0;0;2;0;1;0;0;1;0;0;0;4
332;1;0;2;1;0;0;0;1;0;1;0;0;6
333;0;0;0;0;0;0;0;0;0;0;0;0;0
334;0;0;0;2;0;0;0;0;2;0;0;0;4
335;0;0;0;3;0;2;0;0;1;0;0;0;6
336;0;0;0;6;0;5;1;5;0;0;0;0;17
337;0;1;0;3;0;1;0;0;3;0;0;0;8
338;0;0;0;3;0;0;0;0;3;0;0;0;6
339;0;0;0;0;0;0;0;0;0;0;0;0;0
340;0;0;0;2;0;3;0;1;0;0;0;0;6
341;0;0;1;2;0;4;0;1;1;0;0;1;10
342;0;0;0;1;0;2;0;1;0;0;0;0;4
343;0;0;0;1;0;0;0;0;1;0;0;0;2
344;0;0;0;0;0;0;0;0;0;0;0;0;0
345;0;0;0;0;0;1;1;0;0;0;0;0;2
346;0;0;0;0;0;0;0;0;0;0;0;0;0
347;1;0;2;1;0;1;0;2;1;1;0;0;9
348;0;0;0;0;0;0;0;0;0;0;0;0;0
349;0;0;0;0;0;0;0;0;0;0;0;0;0
350;0;0;0;2;0;0;0;0;2;0;0;0;4
351;0;0;0;0;0;0;0;0;0;0;0;0;0
352;0;0;0;0;0;0;0;0;0;0;0;0;0
353;0;0;0;0;0;0;0;0;0;0;0;0;0
354;0;0;0;0;0;0;0;0;0;0;0;0;0
355;0;0;0;2;0;1;0;0;1;0;0;0;4
356;0;0;0;0;0;1;1;0;0;0;0;0;2
357;0;0;0;0;0;0;0;0;0;0;0;0;0
358;0;0;0;0;0;0;0;0;0;0;0;0;0
359;0;0;0;0;0;0;0;0;0;0;0;0;0
360;1;0;0;1;0;1;0;0;1;0;0;0;4
361;0;0;0;2;0;1;0;0;1;0;0;0;4
362;0;0;0;0;0;0;0;0;0;0;0;0;0
363;0;0;0;2;0;0;1;0;1;0;0;0;4
364;0;0;0;0;0;0;0;0;0;0;0;0;0
365;0;0;0;1;0;1;0;0;0;0;0;0;2
366;0;0;0;0;0;0;0;0;0;0;0;0;0
367;0;0;0;0;0;1;1;0;0;0;0;0;2
368;0;0;0;0;0;0;0;0;0;0;0;0;0
369;0;0;0;2;0;2;0;0;1;0;0;0;5
370;0;0;0;0;0;0;0;0;0;0;0;0;0
371;0;0;0;3;0;2;0;1;2;0;0;0;8
372;0;1;0;1;0;0;0;0;2;0;0;0;4
373;0;0;0;1;0;1;0;1;2;0;0;0;5
374;2;0;0;1;0;3;0;0;0;0;0;0;6
375;0;0;0;3;0;1;1;0;1;0;0;0;6
376;0;3;0;2;0;0;0;0;5;0;0;0;10
377;0;0;0;2;0;0;0;0;2;0;0;0;4
378;0;0;0;3;0;0;2;0;1;0;0;0;6
379;0;0;0;0;0;0;0;0;0;0;0;0;0
380;0;0;0;0;0;0;0;0;0;0;0;0;0
381;0;0;0;3;0;1;0;0;2;0;0;0;6
382;0;0;0;1;0;0;0;0;1;0;0;0;2
383;0;0;0;0;0;0;0;0;0;0;0;0;0
384;0;0;0;0;0;0;0;0;0;0;0;0;0
385;0;0;0;0;0;1;1;0;0;0;0;0;2
386;0;0;0;0;0;0;0;0;0;0;0;0;0
387;1;0;0;2;0;1;0;0;2;0;0;0;6
388;1;0;0;0;0;1;0;0;0;0;0;0;2
389;0;0;0;0;0;0;0;0;0;0;0;0;0
390;0;2;0;1;0;1;0;1;2;0;0;0;7
391;0;0;0;2;0;0;1;0;1;0;0;0;4
392;0;0;0;3;0;1;0;0;2;0;0;0;6
393;1;2;2;19;0;8;8;2;8;1;0;0;51
394;0;0;0;0;0;0;0;0;0;0;0;0;0
395;0;0;0;0;0;0;0;0;0;0;0;0;0
